Clone_From_Item_Id, Clone_To_Event_Id, Name, Capacity, Price, Phase_Group_Name, Phase_Group_Capacity
670ee3621e6c295990f628ba,67601921ff7733b6863a85d6,Sachin Tendulkar Stand B Block L3 ,440,350,Sachin Tendulkar Stand B Block L3 ,440
670ee3b84af45ada2ccf2c5d,67601921ff7733b6863a85d6,Sachin Tendulkar Stand C Block L3 ,496,350,Sachin Tendulkar Stand C Block L3 ,496
670ee4127f069514cd56e4cc,67601921ff7733b6863a85d6,Sachin Tendulkar Stand D BLock L3 ,465,350,Sachin Tendulkar Stand D BLock L3 ,465
670ee504c67350440c072dc4,67601921ff7733b6863a85d6,Sachin Tendulkar Stand E Block L3 ,482,350,Sachin Tendulkar Stand E Block L3 ,482
670ee5a07d9bda34b54d16a0,67601921ff7733b6863a85d6,Sachin Tendulkar Stand F Block L3 ,474,350,Sachin Tendulkar Stand F Block L3 ,474
670ee5f9c67350440c07322d,67601921ff7733b6863a85d6,Sachin Tendulkar Stand G Block L3 ,828,350,Sachin Tendulkar Stand G Block L3 ,828
670ee797c6c7c662a6bcbfff,67601921ff7733b6863a85d6,Sachin Tendulkar Stand N L2,403,350,Sachin Tendulkar Stand N L2,403
670ee8005817ecb6ab573a52,67601921ff7733b6863a85d6,Sachin Tendulkar Stand O L2,399,350,Sachin Tendulkar Stand O L2,399
670ee87725f08d6035ea9614,67601921ff7733b6863a85d6,Sachin Tendulkar Stand P L2,624,350,Sachin Tendulkar Stand P L2,624
670ee8f9bcf1c7d113fb1545,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Q L1,893,350,Sachin Tendulkar Stand Q L1,893
670ee95b4af45ada2ccf7be1,67601921ff7733b6863a85d6,Sachin Tendulkar Stand R Block L1 ,392,350,Sachin Tendulkar Stand R Block L1 ,392
670eeaae25f08d6035eaa887,67601921ff7733b6863a85d6,Sachin Tendulkar Stand S Block L1 ,340,350,Sachin Tendulkar Stand S Block L1 ,340
670f6a097d5abb78659e8e0b,67601921ff7733b6863a85d6,Sachin Tendulkar Stand T Block L1,397,350,Sachin Tendulkar Stand T Block L1,397
670eebbb8d583c9dd8be6f8d,67601921ff7733b6863a85d6,Sachin Tendulkar Stand U Block L1 ,341,350,Sachin Tendulkar Stand U Block L1 ,341
670f6ac9cec2782c1708adff,67601921ff7733b6863a85d6,Sachin Tendulkar Stand V Block L1 ,623,350,Sachin Tendulkar Stand V Block L1 ,623
670e9486c3e1035903ce9cb0,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand H Block L3 ,835,350,Dilip Vengsarkar Stand H Block L3 ,835
670e94eac91a68626318c48e,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand I Block L3 ,464,350,Dilip Vengsarkar Stand I Block L3 ,464
670e957806056e26c0150eb0,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand J Block L3 ,487,350,Dilip Vengsarkar Stand J Block L3 ,487
670eed319fea2048e0158d50,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand K Block L3 ,643,350,Dilip Vengsarkar Stand K Block L3 ,643
670eee05d8b5ae2f109dcfd4,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand L L2,319,350,Dilip Vengsarkar Stand L L2,319
670eeeda751b3ca175dd5382,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand M L2,399,350,Dilip Vengsarkar Stand M L2,399
670eef507f069514cd5742cd,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand W Block L1 ,620,350,Dilip Vengsarkar Stand W Block L1 ,620
670ef05ba9d2ef161914286f,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand X Block L1,338,350,Dilip Vengsarkar Stand X Block L1,338
670ef14fc6c7c662a6bd0b6d,67601921ff7733b6863a85d6,Dilip Vengsarkar Stand Y Block L1 ,626,350,Dilip Vengsarkar Stand Y Block L1 ,626
670ef287fd1e109469b9d349,67601921ff7733b6863a85d6,Vijay Merchant Pavilion A L2 ,480,300,Vijay Merchant Pavilion A L2 ,480
670ef2e4c49a868a240d2196,67601921ff7733b6863a85d6,Vijay Merchant Pavilion B Block L2 ,256,300,Vijay Merchant Pavilion B Block L2 ,256
670ef33fa9d2ef1619143ac5,67601921ff7733b6863a85d6,Vijay Merchant Pavilion C Block L2 ,256,300,Vijay Merchant Pavilion C Block L2 ,256
670ef410d8b5ae2f109dfa9f,67601921ff7733b6863a85d6,Vijay Merchant Pavilion D Block L2 ,243,300,Vijay Merchant Pavilion D Block L2 ,243
670ef4d8c49a868a240d350a,67601921ff7733b6863a85d6,Vijay Merchant Pavilion E Block L2 ,279,300,Vijay Merchant Pavilion E Block L2 ,279
670ef5dfbcf1c7d113fb6fef,67601921ff7733b6863a85d6,Vijay Merchant Pavilion F Block L1 ,97,300,Vijay Merchant Pavilion F Block L1 ,97
670ef8235817ecb6ab57c34d,67601921ff7733b6863a85d6,Vijay Merchant Pavilion G Block L1 ,444,300,Vijay Merchant Pavilion G Block L1 ,444
670ef88b7d9bda34b54da3ae,67601921ff7733b6863a85d6,Vijay Merchant Pavilion H Block L1 ,465,300,Vijay Merchant Pavilion H Block L1 ,465
670f2d7e7f069514cd5ac17b,67601921ff7733b6863a85d6,Vijay Merchant Pavilion I Block L1 ,465,300,Vijay Merchant Pavilion I Block L1 ,465
670f2ddad195f993e7c722a6,67601921ff7733b6863a85d6,Vijay Merchant Pavilion J Block L1 ,466,300,Vijay Merchant Pavilion J Block L1 ,466
670f2e585817ecb6ab5b1086,67601921ff7733b6863a85d6,Vijay Merchant Pavilion K Block L1 ,465,300,Vijay Merchant Pavilion K Block L1 ,465
670f2ecc40f9b900345a1aec,67601921ff7733b6863a85d6,Vijay Merchant Pavilion L Block L1,380,300,Vijay Merchant Pavilion L Block L1,380
670f2fd28d583c9dd8c26f81,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 1 L1 ,15,0,Sachin Tendulkar Stand Box 1 L1 ,15
670f3055d8b5ae2f10a1c6d0,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 2 L1 ,15,0,Sachin Tendulkar Stand Box 2 L1 ,15
670f30abfd1e109469bd9d83,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 3 L1 ,15,0,Sachin Tendulkar Stand Box 3 L1 ,15
670f3123c67350440c0b5206,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 4 L1,15,0,Sachin Tendulkar Stand Box 4 L1,15
670f31818d583c9dd8c29da9,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 5 L1,15,0,Sachin Tendulkar Stand Box 5 L1,15
670f31e6d195f993e7c7845f,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 6 L1,15,0,Sachin Tendulkar Stand Box 6 L1,15
670f324e7f069514cd5b5a8c,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 7 L1,15,0,Sachin Tendulkar Stand Box 7 L1,15
670f32a0c6c7c662a6c15308,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 8 L1,15,0,Sachin Tendulkar Stand Box 8 L1,15
670f32f8c67350440c0b7ed9,67601921ff7733b6863a85d6,Sachin Tendulkar Stand Box 9 L1,15,0,Sachin Tendulkar Stand Box 9 L1,15
